               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                 106,              2.3115,              1.4113,              1.5515,             0.88979,             0.84872,             0.90884,             0.46709,                   0,                   0,                   0,           0.0048025,           0.0048025,           0.0048025
                 107,               2.322,              1.4386,              1.5537,              0.8869,             0.84392,             0.90873,             0.46105,                   0,                   0,                   0,            0.004753,            0.004753,            0.004753
                 108,              2.3091,              1.4173,              1.5468,             0.88193,             0.84724,             0.90853,             0.46589,                   0,                   0,                   0,           0.0047035,           0.0047035,           0.0047035
                 109,              2.3297,              1.4409,              1.5468,             0.88516,             0.84808,             0.90965,             0.46718,                   0,                   0,                   0,            0.004654,            0.004654,            0.004654
                 110,              2.2945,              1.4069,              1.5478,             0.88668,             0.85017,             0.91091,             0.46301,                   0,                   0,                   0,           0.0046045,           0.0046045,           0.0046045
                 111,              2.3166,              1.4267,              1.5494,             0.88197,             0.85262,             0.91337,             0.46569,                   0,                   0,                   0,            0.004555,            0.004555,            0.004555
                 112,              2.2856,              1.4042,              1.5512,             0.88791,             0.85305,             0.91333,             0.47084,                   0,                   0,                   0,           0.0045055,           0.0045055,           0.0045055
                 113,                2.31,              1.4282,               1.547,             0.88292,             0.85766,             0.91473,              0.4722,                   0,                   0,                   0,            0.004456,            0.004456,            0.004456
                 114,              2.3173,              1.4189,              1.5457,             0.88828,             0.84878,             0.91325,             0.46693,                   0,                   0,                   0,           0.0044065,           0.0044065,           0.0044065
                 115,              2.3172,              1.4317,              1.5589,             0.88487,             0.85056,             0.91287,             0.46886,                   0,                   0,                   0,            0.004357,            0.004357,            0.004357
                 116,              2.2875,               1.401,              1.5388,             0.89363,              0.8506,             0.91473,             0.47138,                   0,                   0,                   0,           0.0043075,           0.0043075,           0.0043075
                 117,              2.2769,              1.3987,              1.5427,             0.88668,             0.85605,             0.91347,             0.46789,                   0,                   0,                   0,            0.004258,            0.004258,            0.004258
